name,price,brand,kv,i_a,v,p_w,m_kg
RotorStar Brushless Outrunner Helicopter - 2820-930KV (Compatible with GOBLIN 380) ,32.08,rotorstar,930.0,45.0,15.0,675.0,0.142
Turnigy G10 Brushless Outrunner 1100kv,2.89,turnigy,1100.0,32.0,11.0,355.0,0.149
Turnigy Aerodrive SK3 - 2830-920kv Brushless Outrunner Motor,20.58,sk3,920.0,16.0,11.0,150.0,0.057
Dr. Mad Thrust Series Motor B3682 - 1700kv for 90mm EDF / 6S,57.31,drmadthrust,1700.0,105.0,22.0,2600.0,0.37
Turnigy Aerodrive SK3 2830-920kv Brushless Outrunner Motor ,21.24,sk3,920.0,16.0,12.0,150.0,0.055
Turnigy AquaStar 3974-2200KV Water Cooled Brushless Motor,62.05,aquastar,2200.0,100.0,19.0,1200.0,0.415
Durafly™ Excalibur - Aerostar 3542-800KV Brushless Outrunner Motor ,27.17,aerostar,800.0,58.0,16.0,830.0,0.174
9225-160KV Turnigy Multistar Brushless Multi-Rotor Motor,105.50,multistar,160.0,48.0,35.0,1200.0,0.329
NTM Prop Drive 4238 Series Replacement Shaft,1.16,ntm,,,,,
Assault 500 Series 1600KV Brushless Outrunner Helicopter Motor,24.71,assault,1600.0,80.0,25.0,1700.0,0.23
Turnigy T600 Brushless Outrunner for 600 Heli (880kv),67.54,turnigy,880.0,90.0,30.0,33.6,0.363
Turnigy AquaStar 3660-1460KV Water Cooled Brushless Motor,42.15,aquastar,1460.0,72.0,26.0,1800.0,0.27
Durafly™ Spitfire Mk1a/Mk5/Bf.109e 3736-770kv Motor with Prop Adaptor and Mount,21.55,durafly,770.0,,,,0.151
Turnigy Multistar 4220-880Kv 16Pole Multi-Rotor Outrunner,24.35,multistar,880.0,22.0,11.0,250.0,0.065
Turnigy Aerodrive SK3 2822-1740kv Brushless Outrunner Motor,19.34,sk3,1740.0,10.0,12.0,115.0,0.03
TrackStar 1/8th 2025KV Brushless sensorless motor ,42.10,trackstar,2025.0,140.0,16.0,2100.0,0.33
Brushless Inrunner Motor 2845 3100KV (1:18th 1:14th),14.26,,3100.0,47.0,11.1,800.0,0.125
Turnigy Aerodrive SK3 - 5065-275KV Brushless Outrunner Motor,66.84,sk3,275.0,65.0,37.0,2050.0,0.531
Assault 450 Series 3800KV Brushless Outrunner Helicopter Motor,14.84,assault,3800.0,35.0,15.0,365.0,0.08
Turnigy D2630-1100KV 260W Brushless Outrunner Motor,12.30,turnigy,1100.0,15.0,15.0,260.0,0.055
TrackStar 380 Sensorless Brushless Motor 3200KV,26.51,trackstar,3200.0,20.0,12.0,154.0,0.086
AX 2308N 1100kv brushless Micro Motor,7.66,,1100.0,10.0,11.0,100.0,0.044
Durafly™ D.H.100 Vampire V2 RCAF - Replacement 70mm EDF and Motor,31.42,durafly,3300.0,,,,0.095
Avios BushMule -  AeroStar 3536-850KV Brushless Motor w/X Mount (1xMotor),25.84,avios,850.0,35.0,,400.0,0.107
Turnigy Aerodrive SK3 3548-1050kv Brushless Outrunner Motor ,37.44,sk3,1050.0,50.0,16.0,820.0,0.167
Turnigy Aerodrive SK3 - 3530-1340kv Brushless Outrunner Motor,26.57,sk3,1340.0,28.0,11.0,375.0,0.076
Turnigy L3537-840 Brushless Motor (380w),1.12,turnigy,840.0,30.0,15.0,380.0,0.117
Brushless Inrunner Motor 3674 2250KV (1:10th - 540),28.17,,2250.0,4.0,4.0,1800.0,0.305
Turnigy Aerodrive SK3 - 2826-1130kv Brushless Outrunner Motor,18.97,sk3,1130.0,13.0,11.0,125.0,0.044
Dr Mad Thrust 3300kv 1100w  64mm EDF Inrunner Motor 4s version (29mm),35.79,drmadthrust,3300.0,70.0,15.0,1100.0,0.138
Turnigy LD2816A Brushless Outrunner 1350kv,10.87,turnigy,1350.0,10.0,11.0,120.0,0.026
Durafly Me-163 950mm - Replacement 2200kv Motor,20.24,durafly,2200.0,,,,
Turnigy Multistar 4220-650Kv 16Pole Multi-Rotor Outrunner,24.71,multistar,650.0,17.0,15.0,240.0,0.065
Turnigy L3020B-600 Brushless Motor (800w),22.21,turnigy,600.0,54.0,15.0,800.0,0.146
Turnigy Aerodrive SK3 - 3530-1460kv Brushless Outrunner Motor,26.57,sk3,1460.0,33.0,11.0,430.0,0.075
Turnigy TrackStar SCT 5T Sensored Brushless Motor 4150KV (550 size),50.66,trackstar,4150.0,120.0,11.0,860.0,0.236
TrackStar 380 Sensorless Brushless Motor 4400KV,26.51,trackstar,4400.0,28.0,12.0,216.0,0.086
Turnigy Aerodrive SK3 2826-980kv Brushless Outrunner Motor ,19.34,sk3,980.0,10.0,12.0,96.0,0.043
Turnigy XK2858-2900KV Brushless Inrunner,25.51,turnigyxk,2900.0,58.0,23.0,1334.0,0.16
Turnigy 2815 EDF Outrunner 4000kv for 55/64mm,13.69,turnigy,4000.0,2.61,12.0,26.1,0.073
Turnigy 2632 Brushless Motor 3400kv,4.26,turnigy,3400.0,27.0,13.0,350.0,0.051
Turnigy RotoMax 100cc Size Brushless Outrunner Motor 167kv,340.52,rotomax,167.0,170.0,44.0,7992.0,2.074
Turnigy 3632 1500kv Brushless Motor,22.47,turnigy,1500.0,40.0,13.0,350.0,0.097
Turnigy Aerodrive SK3 3536-1400kv Brushless Outrunner Motor ,33.32,sk3,1400.0,40.0,16.0,590.0,0.105
Turnigy Aerodrive SK3 3542-800kv Brushless Outrunner Motor ,40.06,sk3,800.0,49.0,16.0,493.0,0.134
Turnigy TrackStar 1/14 Scale Sensored Brushless Motor 4620KV,32.04,trackstar,4620.0,15.0,8.0,110.0,0.07
Turnigy XK3674-1900KV Brushless Inrunner,43.05,turnigyxk,1900.0,61.0,29.0,1769.0,0.31
Turnigy TrackStar Waterproof 1/8 Brushless Power System 1900KV/120A,104.25,trackstar,1900.0,120.0,16.0,1470.0,0.141
EMAX RS2306-2750KV Brushless Motor (Black),21.99,emax,2750.0,58.0,17.0,915.0,
FC 28-05 Brushless Outrunner 2840Kv,7.48,,2840.0,14.4,8.0,200.0,0.026
Turnigy AquaStar 3720-1500KV Water Cooled Brushless Outrunner Motor,27.52,aquastar,1500.0,60.0,15.0,890.0,0.22
Turnigy 1/8th Scale 4 Pole Brushless Motor - 1900KV,45.89,turnigy,1900.0,120.0,19.0,2200.0,0.292
Turnigy 4258 Brushless Motor 800kv,41.01,turnigy,800.0,60.0,26.0,1500.0,0.265
HobbyKing™ Bix3 Trainer 1550mm - Replacement Motor 2630 1400kv ,17.53,hobbyking,1400.0,,,,
TrackStar 380 Sensorless brushless Motor 3800KV,26.51,trackstar,3800.0,24.0,12.0,185.0,0.086
Turnigy Aerodrive SK3 3542-1250kv Brushless Outrunner Motor,39.92,sk3,1250.0,50.0,17.0,770.0,0.167
Turnigy Aerodrive SK3 3536-1200kv Brushless Outrunner Motor ,34.56,sk3,1200.0,40.0,16.0,506.0,0.105
Turnigy Aerodrive SK3 2822-1275kv Brushless Outrunner Motor,19.51,sk3,1275.0,8.0,12.0,92.0,0.03
Turnigy XK2860-2730KV Brushless Inrunner,25.51,turnigyxk,2730.0,45.0,27.0,1215.0,0.165
Turnigy 2610 EDF Outrunner 4500kv for 55/64mm,12.94,turnigy,4500.0,2.07,12.0,20.7,0.054
Turnigy Trackstar T28 1/5th Brushless Motor - 780KV,154.40,trackstar,780.0,193.0,38.0,7350.0,1.26
Turnigy SK8 6374-130KV Sensored Brushless Motor (14P),97.21,sk8,130.0,65.0,45.0,2800.0,0.94
Turnigy Aerodrive SK3 3542-1185kv Brushless Outrunner Motor ,35.77,sk3,1185.0,49.0,16.0,730.0,0.134
AX 2306N 2000KV Brushless Micro Motor,7.18,,2000.0,9.0,11.0,120.0,0.037
Turnigy TrackStar SCT 5.5T Sensored Brushless Motor 3750KV (550 size),50.61,trackstar,3750.0,112.0,11.0,810.0,0.236
Turnigy D2006-2400KV Brushless Motor (CW),6.32,turnigy,2400.0,18.0,15.0,240.0,0.025
Turnigy XK2850-3580KV Brushless Inrunner,24.10,turnigyxk,3580.0,80.0,17.0,1360.0,0.12
Turnigy Aerodrive SK3 3530-1460kv Brushless Outrunner Motor ,29.18,sk3,1460.0,33.0,12.0,430.0,0.071
Turnigy XK2430-5300KV Brushless Inrunner,17.87,turnigyxk,5300.0,14.0,13.0,182.0,0.052
Turnigy D2006-2400KV Brushless Motor (CCW),6.32,turnigy,2400.0,18.0,15.0,240.0,0.025
H-King J3 Navy Cub - Replacement Motor D3648-700KV w/Motor Shaft,22.30,h-king,700.0,,,,0.19
Turnigy XK2445-4700KV Brushless Inrunner,17.38,turnigyxk,4700.0,35.0,10.0,350.0,0.075
KEDA 27-28 1070Kv Brushless Outrunner 3S 105W,12.20,keda,1070.0,9.5,11.0,105.0,0.048
Turnigy XK2030-5800KV Brushless Inrunner,15.62,turnigyxk,5800.0,30.0,8.0,110.0,0.046
Avios Grand Tundra - SK3 5045-500KV Brushless Motor and X Mount,49.11,avios,500.0,60.0,26.0,1350.0,
Turnigy XK2430-9200KV Brushless Inrunner,17.87,turnigyxk,9200.0,24.0,8.0,180.0,0.052
Avios C-130 - Brushless Motor 2627-1000KV w/X Mount,14.20,avios,1000.0,14.0,14.8,270.0,0.013
HobbyKing X-Car 13.5 Turn Sensored Brushless Motor (2592Kv),5.92,hobbyking,2592.0,,,,0.171
DT38 620kv Turnigy Hotliner Brushless Inrunner Motor,71.48,,620.0,110.0,19.0,1750.0,0.365
Turnigy SK8 6354-200KV Sensored Brushless Motor (14P),80.71,sk8,200.0,55.0,45.0,2420.0,0.63
Turnigy SK8 6364-110KV Sensored Brushless Motor (14P),91.20,sk8,110.0,40.0,45.0,1750.0,0.785
Turnigy 480S BL Inrunner Motor w/ Impeller 1500kv,4.62,turnigy,1500.0,40.0,13.0,500.0,
Turnigy XK-3665 2100KV Brushless Inrunner,33.97,turnigyxk,2100.0,58.0,35.0,2030.0,0.275
Turnigy 540L V-Spec Inrunner w/ Impeller 810kv,1.18,turnigy,810.0,55.0,15.0,800.0,
KEDA 36-36 1000Kv Brushless Outrunner 3S 250W,17.38,keda,1000.0,21.4,12.0,250.0,0.115
Turnigy XK-3650 3900KV Brushless Inrunner,24.06,turnigyxk,3900.0,110.0,18.0,1980.0,0.2
Turnigy L2815H-2700 4s Brushless 450 Heli Motor (400w),13.74,turnigy,2700.0,35.0,15.0,400.0,0.066
Dr. Mad Thrust 70mm 11-Blade Alloy EDF 1900kv Motor - 1900watt (6S) (Counter Rotating),66.09,drmadthrust,1900.0,,,1900.0,0.23
Turnigy XK2845-2750KV Brushless Inrunner,24.10,turnigyxk,2750.0,32.0,23.0,736.0,0.12
KEDA 27-28 1130KV Brushless Outrunner 3S 85W,6.35,keda,1130.0,7.7,11.0,85.0,0.048
9225-90KV Turnigy Multistar Brushless Multi-Rotor Motor,168.71,multistar,90.0,36.0,45.0,1200.0,0.401
Turnigy SK8 6364-190KV Sensored Brushless Motor (14P),91.20,sk8,190.0,60.0,45.0,2600.0,0.78
KEDA 36-48 1030Kv Brushless Outrunner 4S 450W,23.02,keda,1030.0,28.0,15.0,450.0,0.153
KEDA 36-30M 1100Kv Brushless Outrunner 4S 405W,20.20,keda,1100.0,36.5,15.0,405.0,0.153
KEDA 36-30L 1000Kv Brushless Outrunner 4S 250W,20.20,keda,1000.0,20.5,15.0,250.0,0.078
Turnigy SK3 Fandrive - 3994-850kv (120mm EDF),114.95,sk3,850.0,90.0,43.0,3950.0,0.554
Turnigy XK3674-1400KV Brushless Inrunner,43.05,turnigyxk,1400.0,48.0,38.0,1824.0,0.3
Turnigy AquaStar 3650-3500KV Water Cooled Brushless Motor ,57.73,aquastar,3500.0,60.0,12.0,400.0,0.234
Turnigy 2627 Brushless Outrunner 1200kv,10.25,turnigy,1200.0,10.0,13.0,110.0,0.039
Turnigy Aerodrive SK3 - 5055-380KV Brushless Outrunner Motor,49.11,avios,380.0,65.0,37.0,1600.0,0.422
Turnigy SK8 6354-260KV Sensored Brushless Motor (14P),80.16,sk8,260.0,70.0,45.0,3000.0,0.63
KB 44-74 Brushless Inrunner 820KV,110.85,kb,820.0,50.0,22.0,1150.0,0.58
Turnigy SK8 6354-140KV Sensored Brushless Motor (14P),80.61,sk8,140.0,42.0,45.0,1850.0,0.63
Turnigy 380L V-Spec Inrunner w/ Impeller 2600kv,13.50,turnigy,2600.0,40.0,13.0,400.0,
Turnigy 250 Series 3600KV Brushless Outrunner Helicopter Motor,10.60,turnigy,3600.0,18.0,12.0,190.0,0.037
KEDA 43-72 1100Kv Brushless Heli Outrunner 6S 1500W,61.40,keda,1100.0,70.0,22.0,1500.0,0.34
Turnigy 480S BL Inrunner Motor w/ Impeller 3200kv,20.35,turnigy,3200.0,50.0,11.0,600.0,
Turnigy 480L V-Spec Inrunner w/ Impeller 1370kv,38.62,turnigy,1370.0,50.0,13.0,600.0,
Turnigy RotoMax 1.20 Brushless Outrunner Motor,114.05,rotomax,280.0,65.0,30.0,1924.0,0.622
Turnigy 4258 Brushless Motor 400kv,32.45,turnigy,400.0,55.0,26.0,1200.0,0.261
Durafly™ Auto-G Gyrocopter 821mm - Replacement Brushless Motor (KV800),20.52,durafly,800.0,0.0,0.0,0.0,
Dr. Mad Thrust 70mm 10-Blade Alloy EDF 3000KV Motor - 1200W (4S),55.27,drmadthrust,3000.0,83.0,,1200.0,0.256
Turnigy XK3650-3650KV Brushless Inrunner (Sensored),44.47,turnigyxk,3650.0,68.0,17.0,1156.0,0.16
Turnigy XK-3665 2300KV Sensorless Inrunner,33.97,turnigyxk,2300.0,72.0,28.0,2016.0,0.28
Turnigy L2210-1230 Bell Style Motor (150w),10.30,turnigy,1230.0,7.0,11.0,150.0,0.05
Dr. Mad Thrust 90mm 12-Blade Alloy EDF 1600KV Motor - 2100W (6S),86.21,drmadthrust,1600.0,105.0,,2100.0,0.44
Quanum Nova FPV GPS Waypoint QuadCopter - Brushless Motor (Counter-Clockwise),11.63,quanum,0.0,0.0,0.0,0.0,
B36-60-06L Brushless Inrunner 4000kv,33.73,,4000.0,100.0,11.0,1300.0,0.26
Phantom FPV Flying Wing V1 and V2 1550mm - Replacement 900kv Brushless Motor,18.16,,,,,,
Turnigy XK-3665 2680KV Brushless Inrunner,33.97,turnigyxk,2680.0,76.0,26.0,2028.0,0.275
Dr. Mad Thrust 70mm 10-Blade Alloy EDF 2300KV Motor - 1750W (6S),55.27,drmadthrust,2300.0,80.0,,1750.0,0.256
Super Kinetic - Replacement Brushless Motor (2630-KV1000),17.55,,1000.0,,,,
Turnigy Multistar 2834-800Kv 14 Pole Multi-Rotor Outrunner V2,40.68,multistar,800.0,45.0,15.0,660.0,0.198
BL 2030-16 Brushless Inrunner Motor 5800kv,13.74,,5750.0,1.2,8.0,9.6,0.049
B28-47-08S Brushless Inrunner 4900kv,11.34,,4900.0,55.0,11.0,700.0,0.14
KB 44-65 Brushless Inrunner 1520KV,51.14,kb,1520.0,51.0,23.0,1130.0,0.43
ACK-3508CP-580KV Brushless Outrunner Motor 3~4S (CW),24.39,,580.0,18.0,15.0,400.0,0.085
Turnigy XK3650-4450KV Brushless Inrunner (Sensored),44.47,turnigyxk,4450.0,34.0,11.0,374.0,0.16
Turnigy XK3650-3050KV Brushless Inrunner (Sensored),44.47,turnigyxk,3050.0,23.0,11.0,253.0,0.16
2860-3300KV 660w Brushless Inrunner Motor,37.12,,3300.0,60.0,11.0,660.0,
Turnigy XK3650-4850KV Brushless Inrunner (Sensored),44.47,turnigyxk,3500.0,28.0,8.0,235.0,0.16
90mm Self Balancing 36V 300W Intelligent Brushless Scooter Motor ,1.88,,,15.0,36.0,300.0,
Turnigy XK3650-10500KV Brushless Inrunner (Sensored),44.47,turnigyxk,10500.0,80.0,8.0,880.0,0.16
Turnigy XK3650-3200KV Brushless Inrunner (Sensored),44.47,turnigyxk,3200.0,68.0,17.0,1156.0,0.16
Durafly Bonanza - Replacement Motor 1300KV,19.23,durafly,1300.0,,,,
AX 2308N 1800kv Brushless Micro Motor,7.37,,1800.0,11.0,11.0,130.0,0.044
AX-4008M-620KV Brushless Outrunner Motor 4~5S (CCW),24.39,,620.0,32.0,19.0,590.0,0.08
Sidewinder 1100mm PNF - Replacement Brushless Outrunner Motor,21.95,durafly,,,,,
Durafly Brewster F2A Buffalo 920mm - D2217-1200KV Brushless Outrunner Motor,18.90,durafly,1200.0,,,,
70mm Self Balancing 36V 120W Intelligent Brushless Scooter Motor ,0.52,,,,36.0,120.0,
