name,price,brand,kv,i_a,v,p_w,m_kg
Turnigy Aerodrive SK3 - 6374-149KV Brushless Outrunner Motor,85.81,sk3,149.0,70.0,44.0,2250.0,0.84
Turnigy TrackStar 13.5T Sensored Brushless Motor 3040KV (ROAR approved),35.00,trackstar,3040.0,36.0,8.0,255.0,0.178
Turnigy L3010B-1300 Brushless Motor (420w),17.29,turnigy,1300.0,40.1,11.0,420.0,0.088
Turnigy L2210A-1650 Brushless Motor (180w),11.73,turnigy,1650.0,17.5,11.0,180.0,0.049
Turnigy Aerodrive SK3 - 2836-1040kv Brushless Outrunner Motor,24.88,sk3,1040.0,28.0,11.0,335.0,0.08
Turnigy G46 Brushless Outrunner 670kv (.46 Glow),56.63,turnigy,670.0,40.0,19.0,741.0,0.303
Turnigy Aerodrive SK3 - 3548-840kv Brushless Outrunner Motor,39.68,sk3,840.0,50.0,15.0,750.0,0.174
Turnigy Aerodrive SK3 - 3536-1050kv Brushless Outrunner Motor  ,30.02,sk3,1050.0,34.0,16.0,505.0,0.11
Turnigy Multistar 2213-980Kv 14Pole Multi-Rotor Outrunner,10.22,multistar,980.0,15.0,11.0,165.0,0.058
hexTronik DT750 Brushless Outrunner 750kv ,13.91,hextronik,750.0,17.0,13.0,300.0,0.078
PROPDRIVE v2 2836 1000KV Brushless Outrunner Motor,17.23,propdrive,1000.0,30.0,14.8,400.0,0.081
Turnigy 2830 900KV L2215J-900 Brushless Motor (200W),13.72,turnigy,900.0,18.0,11.0,200.0,0.061
Turnigy D2836/11 750KV Brushless Outrunner Motor,14.86,turnigy,750.0,20.0,11.0,220.0,0.071
AX 1806N 2100kv Brushless Micro Motor (19g),8.07,,2100.0,7.0,11.0,80.0,0.019
PROPDRIVE v2 2836 2700KV Brushless Outrunner Motor,20.15,propdrive,2700.0,50.0,14.8,595.0,0.082
TrackStar ROAR approved 1/10th Stock Class Brushless ESC and Motor Combo (13.5T),69.12,trackstar,3040.0,36.0,8.0,255.0,0.178
PROPDRIVE v2 5050 580KV Brushless Outrunner Motor,42.85,propdrive,580.0,90.0,22.2,2000.0,0.331
PROPDRIVE v2 5060 380KV Brushless Outrunner Motor,47.79,propdrive,380.0,90.0,36.0,2665.0,0.438
Turnigy Aerodrive SK3 - 6354-260KV Brushless Outrunner Motor,64.65,sk3,260.0,70.0,37.0,2360.0,0.489
PROPDRIVE v2 2836 2200KV Brushless Outrunner Motor,18.34,propdrive,2200.0,50.0,14.8,696.0,0.083
Turnigy Aerodrive SK3 - 3542-1000kv Brushless Outrunner Motor,35.26,sk3,1000.0,45.0,15.0,670.0,0.141
PROPDRIVE v2 2830 1200KV Brushless Outrunner Motor,17.23,propdrive,1200.0,28.0,17.0,400.0,0.069
Turnigy Aerodrive SK3 - 5045-500KV Brushless Outrunner Motor,47.18,sk3,500.0,60.0,26.0,1350.0,0.28
Turnigy Aerodrive SK3 - 6364-245KV Brushless Outrunner Motor,72.68,sk3,245.0,70.0,37.0,2700.0,0.718
Turnigy 2217 16turn 1050kv 23A Outrunner,17.10,turnigy,1050.0,20.0,11.0,0.0,0.073
PROPDRIVE v2 3536 910KV Brushless Outrunner Motor,22.61,propdrive,910.0,38.0,17.0,350.0,0.088
PROPDRIVE v2 3536 1800KV Brushless Outrunner Motor,22.61,propdrive,1800.0,70.0,17.0,875.0,0.126
Turnigy L2210C-1200 Brushless Motor (150w),13.16,turnigy,1200.0,15.8,11.0,150.0,0.048
PROPDRIVE v2 2830 1000KV Brushless Outrunner Motor,12.73,propdrive,1000.0,25.0,17.0,370.0,0.069
Durafly® ™ EFXtra - 3536-1780KV Replacement Aerostar Motor w/Mount and Propeller Shaft,23.66,durafly,1780.0,,,,
Turnigy D2206-2300KV 31g Brushless Motor CCW,8.45,turnigy,2300.0,,,,0.031
Turnigy Aerodrive SK3 - 3542-1250kv Brushless Outrunner Motor,34.99,sk3,1250.0,54.0,15.0,755.0,0.141
Turnigy AquaStar 2842-2800KV Water Cooled Brushless Outrunner Motor,22.57,aquastar,2800.0,40.0,15.0,600.0,0.138
PROPDRIVE v2 4258 500KV Brushless Outrunner Motor,44.13,propdrive,500.0,60.0,25.9,1300.0,0.3
PROPDRIVE v2 5060 270KV Brushless Outrunner Motor,56.65,propdrive,270.0,90.0,29.6,2400.0,0.438
Turnigy 2226-3000 70mm EDF Outrunner ,12.09,turnigy,3000.0,40.0,15.0,600.0,0.098
Turnigy D2205-2600KV 28g Brushless Motor CCW,7.05,turnigy,2600.0,,,,0.028
Turnigy TrackStar Waterproof 1/10 Brushless Power System 5200KV/80A,66.66,trackstar,5200.0,68.0,8.0,450.0,0.088
Turnigy RotoMax 150cc Size Brushless Outrunner Motor,396.11,rotomax,150.0,190.0,52.0,9800.0,2.53
Turnigy TrackStar 21.5T Sensored Brushless Motor 1855KV (ROAR approved),34.77,trackstar,1855.0,22.0,8.0,150.0,0.177
PROPDRIVE v2 3536 1400KV Brushless Outrunner Motor,22.61,propdrive,1400.0,45.0,17.0,550.0,0.121
Turnigy D2826-2000KV 330W Brushless Outrunner Motor,10.22,turnigy,2000.0,25.0,15.0,330.0,0.051
Turnigy Aerodrive SK3 - 2836-1500 Brushless Outrunner Motor,25.09,sk3,1500.0,31.0,11.0,370.0,0.08
PROPDRIVE v2 3542 1000KV Brushless Outrunner Motor,24.33,propdrive,1000.0,47.0,17.0,700.0,0.155
Turnigy TrackStar Waterproof 1/10 Brushless Power System 4000KV/80A,67.71,trackstar,4000.0,55.0,8.0,370.0,0.088
PROPDRIVE v2 3530 1400KV Brushless Outrunner Motor,20.94,propdrive,1400.0,37.0,17.0,560.0,0.09
Turnigy L5055B-600 Brushless Outrunner 600kv,39.91,turnigy,600.0,55.0,30.0,1500.0,0.296
PROPDRIVE v2 2836 1200KV Brushless Outrunner Motor,17.23,propdrive,1200.0,48.0,14.8,530.0,0.082
PROPDRIVE v2 2836 1400KV Brushless Outrunner Motor,17.23,propdrive,1400.0,45.0,14.8,560.0,0.082
Turnigy Aerodrive SK3 - 3548- 1050kv Brushless Outrunner Motor,38.96,sk3,1050.0,50.0,15.0,820.0,0.176
Turnigy XK3674-2200KV 1750w Brushless Inrunner,40.24,turnigyxk,2200.0,70.0,25.0,1750.0,0.31
PROPDRIVE v2 4238 750KV Brushless Outrunner Motor,30.68,propdrive,750.0,56.0,17.0,785.0,0.156
Multistar Elite 3508-268KV High Voltage Endurance Motor,17.27,multistar,268.0,12.0,35.0,330.0,0.096
Turnigy AquaStar 3660-1700KV Water Cooled Brushless Motor,40.91,aquastar,1700.0,84.0,22.0,1800.0,0.27
Turnigy Aerodrive SK3 - 5045-660KV Brushless Outrunner Motor,39.54,sk3,660.0,60.0,19.0,1410.0,0.28
Turnigy Aerodrive SK3 - 3536-1200kv Brushless Outrunner Motor,30.02,sk3,1200.0,38.0,15.0,560.0,0.111
Turnigy L2210-1400 Bell Style Motor (210w),10.28,turnigy,1400.0,24.0,11.0,210.0,0.05
PROPDRIVE v2 3542 1250KV Brushless Outrunner Motor,23.41,propdrive,1250.0,56.0,17.0,600.0,0.156
Turnigy D2206-2600KV 31g Brushless Motor CCW,8.45,turnigy,2600.0,22.0,15.0,300.0,0.031
PROPDRIVE v2 2826 1000KV Brushless Outrunner Motor,14.74,propdrive,1000.0,15.0,17.0,235.0,0.06
Turnigy Aerodrive SK3 - 6364-190KV Brushless Outrunner Motor,75.90,sk3,190.0,65.0,37.0,2450.0,0.697
Turnigy XK2845-3650KV Brushless Inrunner,24.10,turnigyxk,3650.0,45.0,18.0,810.0,0.125
Turnigy D2206-2600KV 31g Brushless Motor CW,8.45,turnigy,2600.0,,,,0.031
MultiStar V-Spec 1304-3100KV Multi-Rotor Motor (CCW),9.34,multistar,3100.0,8.0,7.0,20.0,0.01
MultiStar Viking 2206-2600kv Brushless Outrunner Drone Racing Motor (CCW),18.96,multistar,2600.0,30.0,15.0,450.0,0.029
Turnigy Aerodrive SK3 - 3542-800kv Brushless Outrunner Motor,36.23,sk3,800.0,42.0,19.0,625.0,0.142
